Группа вопросов/тема,Вопрос,Ответ на вопрос,Сложность/уровень вопроса,"Попадался ли на интервью, если да то какой компании",Ссылка на статью с объяснением/ответом
¯\_(ツ)_/¯,Нормализация распределения-1. Приведите методы преобразования ненормального распределения к нормальному,"Нормализация распределения данных используется для приведения данных к определенному диапазону или распределению. Основные методы нормализации включают:

Min-Max нормализация: Приводит данные к заданному диапазону, обычно [0, 1]. Применяется, когда необходимо сохранить отношения между исходными данными.
Z-score нормализация (стандартизация): Преобразует данные так, чтобы они имели среднее значение 0 и стандартное отклонение 1. Используется, когда необходимо устранить влияние масштаба.
Логарифмическое преобразование: Применяется для уменьшения асимметрии распределения и стабилизации дисперсии.
Бокса-Кокса преобразование: Используется для приведения данных к нормальному распределению, если они положительные.",,,
Ансамблирование моделей,Чем отличается бэггинг от бустинга?,"Бэггинг (bootstrap aggregating) заключается в параллельном обучении нескольких моделей на различных подвыборках данных с последующим усреднением их предсказаний для повышения стабильности и снижения дисперсии модели. Бустинг же обучает модели последовательно, каждая последующая модель исправляет ошибки предыдущей, что позволяет уменьшить смещение и повысить точность за счет усиления ""слабых"" моделей. Бэггинг обычно снижает дисперсию, тогда как бустинг фокусируется на уменьшении смещения.",,,"https://education.yandex.ru/handbook/ml/article/ansambli-v-mashinnom-obuchenii#busting#:~:text=Отличие%20состоит%20в%20том,%20что"
Ансамблирование моделей,Ансамбль стекинга уменьшает смещение модели?,"Ансамбль стекинга (stacking) помогает уменьшить как смещение, так и дисперсию модели за счёт комбинации предсказаний нескольких разных моделей с помощью модели-метаучителя. Вместо последовательного исправления ошибок, как в бустинге, стекинг использует разнообразие моделей и данных для более точного усредненного предсказания. Снижение смещения возможно за счет выбора сильных базовых моделей и оптимальной мета-модели.",,Wildberries,https://education.yandex.ru/handbook/ml/article/ansambli-v-mashinnom-obuchenii#busting#:~:text=С%20точки%20зрения%20смещения%20и%20разброса%20стекинг
Ансамблирование моделей,Что такое ансамбль моделей? Какие виды ансамблей существуют?,"Ансамбль моделей — это метод машинного обучения, в котором несколько моделей объединяются для улучшения точности и стабильности предсказаний. Существуют различные виды ансамблей, включая:

Бэггинг (Bootstrap Aggregating): Создание нескольких подвыборок из обучающего набора с возвращением и обучение отдельных моделей на этих подвыборках. Итоговый результат получается путем усреднения (для регрессии) или голосования (для классификации).
Бустинг: Последовательное обучение моделей, где каждая новая модель исправляет ошибки предыдущей. Примеры — AdaBoost, Gradient Boosting.
Стекинг (Stacking): Комбинирование предсказаний нескольких базовых моделей с использованием мета-модели, которая обучается на этих предсказаниях.",,,https://education.yandex.ru/handbook/ml/article/ansambli-v-mashinnom-obuchenii
Ансамблирование моделей,Чем отличается блендинг от стэкинга?,"Блендинг и стекинг — это методы ансамблирования моделей, но они имеют некоторые различия:

Блендинг: Использует простую модель для объединения предсказаний нескольких базовых моделей. Обычно используются методы, такие как линейная регрессия, для взвешивания предсказаний.
Стекинг: Включает обучение мета-модели на предсказаниях базовых моделей. Мета-модель обучается предсказывать целевую переменную, используя предсказания других моделей в качестве входных данных. Стекинг позволяет использовать более сложные модели для комбинирования результатов.",,,https://education.yandex.ru/handbook/ml/article/ansambli-v-mashinnom-obuchenii
Ансамблирование моделей,Что такое бутстрэп?,"Бутстрэп — это метод статистического анализа, который позволяет оценивать параметры модели или распределения данных через создание множества подвыборок с возвращением из исходного набора данных. Этот метод помогает оценивать устойчивость статистических оценок и обеспечивает способ оценки ошибок без предположений о форме распределения данных.
",Middle,bidease (с подводкой к ЦПТ),https://education.yandex.ru/handbook/ml/article/ansambli-v-mashinnom-obuchenii#busting#:~:text=называется%20бутстрепом%20(bootstrap)
Байесовская инференция,"Чем отличаются частотные модели от Байесовских?
В чём плюсы и второй над первой?","Частотные модели:

Основной подход: Оценивают параметры модели, максимизируя правдоподобие (maximum likelihood estimation, MLE).
Гипотезы: Рассматривают параметры как фиксированные, но неизвестные величины.
Оценка неопределённости: Оценивается с помощью методов вроде доверительных интервалов и бутстрепа.
Байесовские модели:

Основной подход: Используют теорему Байеса для обновления распределения вероятностей на основе наблюдаемых данных.
Гипотезы: Рассматривают параметры как случайные величины с определённым априорным распределением.
Оценка неопределённости: Обеспечивают полное распределение вероятностей для параметров, что даёт более полную картину неопределённости.
Плюсы Байесовских моделей:

Априорные знания: Позволяют включать априорную информацию о параметрах, что может быть полезно при небольших объёмах данных.
Интерпретируемость: Предоставляют более полную картину неопределённости через апостериорные распределения.
Робастность: Часто более устойчивы к переобучению, особенно при наличии шума в данных.",Middle (R&D),bidease,
Глубокое обучение,"Инициализация весов-Как сделать, чтобы при каждом запуске кода модель обучаемая при помощи градиентного спуска сходилась к одной и той же точке?","Для достижения детерминированности обучения и схождения к одной и той же точке, необходимо:

Фиксировать случайный сид: Установить начальное значение для генератора случайных чисел, что обеспечит одинаковую инициализацию весов и порядок мини-батчей.

python
Копировать код
import numpy as np
import random
import torch

seed = 42
np.random.seed(seed)
random.seed(seed)
torch.manual_seed(seed)
Использовать одинаковые начальные условия: Инициализировать веса одинаковым образом при каждом запуске.

Убедиться в детерминированности операций: В некоторых библиотеках, таких как PyTorch, необходимо включить детерминированный режим для некоторых операций:

python
Копировать код
torch.backends.cudnn.deterministic = True
torch.backends.cudnn.benchmark = False",,,
Глубокое обучение,Что такое нормализация в контексте нейросетей? Какая польза от использования нормализации в нейросетях?,"Нормализация – это процесс изменения распределения входных данных или промежуточных активаций в сети, чтобы сделать их более стабильными.

Польза от нормализации:

Ускорение обучения: Улучшает сходимость градиентного спуска.
Стабильность: Снижает риск ""взрывного"" или ""исчезающего"" градиента.
Улучшение генерализации: Снижает вероятность переобучения.
Наиболее известные техники нормализации в нейросетях включают Batch Normalization, Layer Normalization и других.",,Wildberries,
Глубокое обучение,"Если взять батч размером 10к, обучить на нём модель, потом
увеличить его размер до 20к, какие параметры нужно дотюнить,
как и почему?","При изменении размера батча может потребоваться:

Изменение скорости обучения: Больший размер батча может привести к более устойчивым обновлениям градиента, поэтому можно увеличить скорость обучения. Однако, при слишком большом размере батча скорость обучения может потребоваться уменьшить, чтобы избежать переполнения и повысить точность.

Регулировка числа эпох: С увеличением размера батча может потребоваться уменьшить число эпох, так как каждый шаг теперь будет включать больше данных, и модель будет быстрее проходить через весь датасет.

Регуляризация: Возможно, потребуется скорректировать параметры регуляризации (например, коэффициент dropout или L2-регуляризацию), так как эффект от регулирования может измениться с увеличением размера батча.",Middle,bidease,
